"任务ID","任务定义ID","任务名称","任务日期","任务开始时间","任务时长","进/出港","到达航班ID","到达航班预达时间","到达航班计划到达时间","出发航班ID","出发航班预离时间","出发航班计划预离时间","到达航班号","出发航班号","航班类型","任务资质要求","航站楼","区域","机位","其他位置信息","任务是否允许双机","任务是否必须派工","任务是否为难保障任务","关联任务ID","员工编号","车牌号"
"8a69df6f9a4879a7019aa16925872110","ea06cd8b2378496791565af100607f07","进港卸机","2025-11-21","2025-11-21 19:40:00",36,"进","8a69eb009a363b11019aa09d49ae26b5",,"2025-11-21 19:40:00","8a69eb009a363b11019aa09d49af26c7","2025-11-21 20:45:00","2025-11-21 20:45:00","G54285","G54286","短过站","","T1",,"17",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa16925872111","ea06cd8b2378496791565af100607f07","进港卸机","2025-11-21","2025-11-21 19:40:00",36,"进","8a69eb009a363b11019aa09d49ae26b5",,"2025-11-21 19:40:00","8a69eb009a363b11019aa09d49af26c7","2025-11-21 20:45:00","2025-11-21 20:45:00","G54285","G54286","短过站","","T1",,"17",,"Y","Y","N",,,
"8a69d1d79a4879ac019aa3a3c9ed6bcf","321db65919d042cca0a4365bd26e4f01","进港卸机","2025-11-21","2025-11-21 10:55:00",36,"进","8a69eb009a363b11019aa09d49ae26b8","2025-11-21 10:55:00","2025-11-21 10:40:00","8a69eb009a363b11019aa09d49af26cd","2025-11-21 11:35:00","2025-11-21 11:35:00","8L9879","8L9880","短过站","","T1",,"12",,"Y","Y","N",,,
"8a69d1d79a4879ac019aa3a3c9ee6bd0","321db65919d042cca0a4365bd26e4f01","进港卸机","2025-11-21","2025-11-21 10:55:00",36,"进","8a69eb009a363b11019aa09d49ae26b8","2025-11-21 10:55:00","2025-11-21 10:40:00","8a69eb009a363b11019aa09d49af26cd","2025-11-21 11:35:00","2025-11-21 11:35:00","8L9879","8L9880","短过站","","T1",,"12",,"Y","Y","N",,,
"8a69d1d79a4879ac019aa3a3c9ee6bd1","321db65919d042cca0a4365bd26e4f01","进港卸机","2025-11-21","2025-11-21 10:55:00",36,"进","8a69eb009a363b11019aa09d49ae26b8","2025-11-21 10:55:00","2025-11-21 10:40:00","8a69eb009a363b11019aa09d49af26cd","2025-11-21 11:35:00","2025-11-21 11:35:00","8L9879","8L9880","短过站","","T1",,"12",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa169259c21b0","ea06cd8b2378496791565af100607f07","进港卸机","2025-11-21","2025-11-21 10:55:00",36,"进","8a69eb009a363b11019aa09d49ae26b8","2025-11-21 10:55:00","2025-11-21 10:40:00","8a69eb009a363b11019aa09d49af26cd","2025-11-21 11:35:00","2025-11-21 11:35:00","8L9879","8L9880","短过站","","T1",,"12",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa169259d21b1","ea06cd8b2378496791565af100607f07","进港卸机","2025-11-21","2025-11-21 10:55:00",36,"进","8a69eb009a363b11019aa09d49ae26b8","2025-11-21 10:55:00","2025-11-21 10:40:00","8a69eb009a363b11019aa09d49af26cd","2025-11-21 11:35:00","2025-11-21 11:35:00","8L9879","8L9880","短过站","","T1",,"12",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa169259d21b2","ea06cd8b2378496791565af100607f07","进港卸机","2025-11-21","2025-11-21 10:55:00",36,"进","8a69eb009a363b11019aa09d49ae26b8","2025-11-21 10:55:00","2025-11-21 10:40:00","8a69eb009a363b11019aa09d49af26cd","2025-11-21 11:35:00","2025-11-21 11:35:00","8L9879","8L9880","短过站","","T1",,"12",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa16a4ccf2f3f","6d77d95110764d19a7e280ccca38ee86","出港押运","2025-11-21","2025-11-21 17:25:00",20,"出","8a69eb009a363b11019aa09d49ae266a","2025-11-21 17:39:00","2025-11-21 18:00:00","8a69eb009a363b11019aa09d49ae26b9","2025-11-21 18:55:00","2025-11-21 18:55:00","3U6909","3U6910","短过站","押运","T1",,"39",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa16a4ccf2f42","6d77d95110764d19a7e280ccca38ee86","出港押运","2025-11-21","2025-11-21 20:05:00",20,"出","8a69eb009a363b11019aa09d49ae26a5",,"2025-11-21 20:35:00","8a69eb009a363b11019aa09d49ae26ba","2025-11-21 21:35:00","2025-11-21 21:35:00","MU5743","MU5744","短过站","押运","T1",,"10",,"Y","Y","N",,,
"8a69ec969a4879bc019aa503741d3bfd","321db65919d042cca0a4365bd26e4f01","进港卸机","2025-11-21","2025-11-21 16:19:00",36,"进","8a69eb009a363b11019aa09d49ae26bb","2025-11-21 16:19:00","2025-11-21 15:35:00","8a69eb009a363b11019aa09d49ae2668","2025-11-21 17:25:00","2025-11-21 17:25:00","SC4911","SC4911","短过站","","T1",,"17",,"Y","Y","N",,,
"8a69ec969a4879bc019aa503741d3bfe","321db65919d042cca0a4365bd26e4f01","进港卸机","2025-11-21","2025-11-21 16:19:00",36,"进","8a69eb009a363b11019aa09d49ae26bb","2025-11-21 16:19:00","2025-11-21 15:35:00","8a69eb009a363b11019aa09d49ae2668","2025-11-21 17:25:00","2025-11-21 17:25:00","SC4911","SC4911","短过站","","T1",,"17",,"Y","Y","N",,,
"8a69ec969a4879bc019aa503741d3bff","321db65919d042cca0a4365bd26e4f01","进港卸机","2025-11-21","2025-11-21 16:19:00",36,"进","8a69eb009a363b11019aa09d49ae26bb","2025-11-21 16:19:00","2025-11-21 15:35:00","8a69eb009a363b11019aa09d49ae2668","2025-11-21 17:25:00","2025-11-21 17:25:00","SC4911","SC4911","短过站","","T1",,"17",,"Y","Y","N",,,
"8a69ec969a4879bc019aa503741d3c00","ea06cd8b2378496791565af100607f07","进港卸机","2025-11-21","2025-11-21 16:19:00",36,"进","8a69eb009a363b11019aa09d49ae26bb","2025-11-21 16:19:00","2025-11-21 15:35:00","8a69eb009a363b11019aa09d49ae2668","2025-11-21 17:25:00","2025-11-21 17:25:00","SC4911","SC4911","短过站","","T1",,"17",,"Y","Y","N",,,
"8a69ec969a4879bc019aa503741d3c01","ea06cd8b2378496791565af100607f07","进港卸机","2025-11-21","2025-11-21 16:19:00",36,"进","8a69eb009a363b11019aa09d49ae26bb","2025-11-21 16:19:00","2025-11-21 15:35:00","8a69eb009a363b11019aa09d49ae2668","2025-11-21 17:25:00","2025-11-21 17:25:00","SC4911","SC4911","短过站","","T1",,"17",,"Y","Y","N",,,
"8a69ec969a4879bc019aa503741d3c02","ea06cd8b2378496791565af100607f07","进港卸机","2025-11-21","2025-11-21 16:19:00",36,"进","8a69eb009a363b11019aa09d49ae26bb","2025-11-21 16:19:00","2025-11-21 15:35:00","8a69eb009a363b11019aa09d49ae2668","2025-11-21 17:25:00","2025-11-21 17:25:00","SC4911","SC4911","短过站","","T1",,"17",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa16925c522dd","ea06cd8b2378496791565af100607f07","进港卸机","2025-11-21","2025-11-21 11:00:00",36,"进","8a69eb009a363b11019aa09d49ae26bc","2025-11-21 11:00:00","2025-11-21 10:45:00","8a69eb009a363b11019aa09d49ae269c","2025-11-21 11:35:00","2025-11-21 11:35:00","CZ3505","CZ3506","短过站","","T1",,"5",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa16925c522de","ea06cd8b2378496791565af100607f07","进港卸机","2025-11-21","2025-11-21 11:00:00",36,"进","8a69eb009a363b11019aa09d49ae26bc","2025-11-21 11:00:00","2025-11-21 10:45:00","8a69eb009a363b11019aa09d49ae269c","2025-11-21 11:35:00","2025-11-21 11:35:00","CZ3505","CZ3506","短过站","","T1",,"5",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa16925c522df","ea06cd8b2378496791565af100607f07","进港卸机","2025-11-21","2025-11-21 11:00:00",36,"进","8a69eb009a363b11019aa09d49ae26bc","2025-11-21 11:00:00","2025-11-21 10:45:00","8a69eb009a363b11019aa09d49ae269c","2025-11-21 11:35:00","2025-11-21 11:35:00","CZ3505","CZ3506","短过站","","T1",,"5",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa16a4cd02f46","8b42f7102ad2431a8e7e2a0ed3e880e7","出港押运","2025-11-21","2025-11-21 07:15:00",10,"出",,,,"8a69eb009a363b11019aa09d49ae26bd","2025-11-21 07:45:00","2025-11-21 07:45:00",,"FU6621","始发","押运","T1",,"19",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa16924911a53","f5a820eb79fc401fbaee9ef53d05fe5e","出港装机","2025-11-21","2025-11-21 06:45:00",30,"出",,,,"8a69eb009a363b11019aa09d49ae26bd","2025-11-21 07:45:00","2025-11-21 07:45:00",,"FU6621","始发","","T1",,"19",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa16924911a54","f5a820eb79fc401fbaee9ef53d05fe5e","出港装机","2025-11-21","2025-11-21 06:45:00",30,"出",,,,"8a69eb009a363b11019aa09d49ae26bd","2025-11-21 07:45:00","2025-11-21 07:45:00",,"FU6621","始发","","T1",,"19",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa16924911a55","f5a820eb79fc401fbaee9ef53d05fe5e","出港装机","2025-11-21","2025-11-21 06:45:00",30,"出",,,,"8a69eb009a363b11019aa09d49ae26bd","2025-11-21 07:45:00","2025-11-21 07:45:00",,"FU6621","始发","","T1",,"19",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa3516e520be1","491b6de78f284b2086f61689446dd318","出港装机","2025-11-21","2025-11-21 06:45:00",30,"出",,,,"8a69eb009a363b11019aa09d49ae26bd","2025-11-21 07:45:00","2025-11-21 07:45:00",,"FU6621","始发","","T1",,"19",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa3516e520be2","491b6de78f284b2086f61689446dd318","出港装机","2025-11-21","2025-11-21 06:45:00",30,"出",,,,"8a69eb009a363b11019aa09d49ae26bd","2025-11-21 07:45:00","2025-11-21 07:45:00",,"FU6621","始发","","T1",,"19",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa3516e520be3","491b6de78f284b2086f61689446dd318","出港装机","2025-11-21","2025-11-21 06:45:00",30,"出",,,,"8a69eb009a363b11019aa09d49ae26bd","2025-11-21 07:45:00","2025-11-21 07:45:00",,"FU6621","始发","","T1",,"19",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa16a4cd02f4a","6d77d95110764d19a7e280ccca38ee86","出港押运","2025-11-21","2025-11-21 09:25:00",20,"出","8a69eb009a363b11019aa09d49ae26a7","2025-11-21 09:44:00","2025-11-21 09:50:00","8a69eb009a363b11019aa09d49ae26be","2025-11-21 10:55:00","2025-11-21 10:55:00","MU9085","MU9086","短过站","押运","T1",,"10",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa16924ab1b13","aa4258e7afe64500bdb1c4cdef784409","进港卸机","2025-11-21","2025-11-21 22:50:00",30,"进","8a69eb009a363b11019aa09d49af26bf",,"2025-11-21 22:50:00",,,,"FU6626",,"航后","","T1",,"17",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa16924ab1b14","aa4258e7afe64500bdb1c4cdef784409","进港卸机","2025-11-21","2025-11-21 22:50:00",30,"进","8a69eb009a363b11019aa09d49af26bf",,"2025-11-21 22:50:00",,,,"FU6626",,"航后","","T1",,"17",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa16924ab1b15","aa4258e7afe64500bdb1c4cdef784409","进港卸机","2025-11-21","2025-11-21 22:50:00",30,"进","8a69eb009a363b11019aa09d49af26bf",,"2025-11-21 22:50:00",,,,"FU6626",,"航后","","T1",,"17",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa16a4c7d2d1f","f705b79efe7c49b39c7c6c3bcfda88b1","进港押运","2025-11-21","2025-11-21 23:20:00",20,"进","8a69eb009a363b11019aa09d49af26bf",,"2025-11-21 22:50:00",,,,"FU6626",,"航后","押运","T1",,"17",,"Y","Y","N",,,
"8a69ec969a4879bc019aa5a4aeb76e90","321db65919d042cca0a4365bd26e4f01","进港卸机","2025-11-21","2025-11-21 17:39:00",36,"进","8a69eb009a363b11019aa09d49af26c2","2025-11-21 17:39:00","2025-11-21 18:05:00","8a69eb009a363b11019aa09d49af26f3","2025-11-21 18:55:00","2025-11-21 18:55:00","FU6596","FU6665","短过站","","T1",,"18",,"Y","Y","N",,,
"8a69ec969a4879bc019aa5a4aeb76e91","321db65919d042cca0a4365bd26e4f01","进港卸机","2025-11-21","2025-11-21 17:39:00",36,"进","8a69eb009a363b11019aa09d49af26c2","2025-11-21 17:39:00","2025-11-21 18:05:00","8a69eb009a363b11019aa09d49af26f3","2025-11-21 18:55:00","2025-11-21 18:55:00","FU6596","FU6665","短过站","","T1",,"18",,"Y","Y","N",,,
"8a69ec969a4879bc019aa5a4aeb76e92","321db65919d042cca0a4365bd26e4f01","进港卸机","2025-11-21","2025-11-21 17:39:00",36,"进","8a69eb009a363b11019aa09d49af26c2","2025-11-21 17:39:00","2025-11-21 18:05:00","8a69eb009a363b11019aa09d49af26f3","2025-11-21 18:55:00","2025-11-21 18:55:00","FU6596","FU6665","短过站","","T1",,"18",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa16925db2382","ea06cd8b2378496791565af100607f07","进港卸机","2025-11-21","2025-11-21 17:39:00",36,"进","8a69eb009a363b11019aa09d49af26c2","2025-11-21 17:39:00","2025-11-21 18:05:00","8a69eb009a363b11019aa09d49af26f3","2025-11-21 18:55:00","2025-11-21 18:55:00","FU6596","FU6665","短过站","","T1",,"18",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa16925db2383","ea06cd8b2378496791565af100607f07","进港卸机","2025-11-21","2025-11-21 17:39:00",36,"进","8a69eb009a363b11019aa09d49af26c2","2025-11-21 17:39:00","2025-11-21 18:05:00","8a69eb009a363b11019aa09d49af26f3","2025-11-21 18:55:00","2025-11-21 18:55:00","FU6596","FU6665","短过站","","T1",,"18",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa16925db2384","ea06cd8b2378496791565af100607f07","进港卸机","2025-11-21","2025-11-21 17:39:00",36,"进","8a69eb009a363b11019aa09d49af26c2","2025-11-21 17:39:00","2025-11-21 18:05:00","8a69eb009a363b11019aa09d49af26f3","2025-11-21 18:55:00","2025-11-21 18:55:00","FU6596","FU6665","短过站","","T1",,"18",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa16a4cd12f4d","6d77d95110764d19a7e280ccca38ee86","出港押运","2025-11-21","2025-11-21 16:25:00",20,"出","8a69eb009a363b11019aa09d49ae2669","2025-11-21 17:00:00","2025-11-21 17:05:00","8a69eb009a363b11019aa09d49af26c5","2025-11-21 17:55:00","2025-11-21 17:55:00","ZH9367","ZH9368","短过站","押运","T1",,"9",,"Y","Y","N",,,
"8a69d1d79a4879ac019aa3df4f07755f","321db65919d042cca0a4365bd26e4f01","进港卸机","2025-11-21","2025-11-21 10:34:00",36,"进","8a69eb009a363b11019aa09d49af26c6","2025-11-21 10:34:00","2025-11-21 10:50:00","8a69eb009a363b11019aa09d49ae26a8","2025-11-21 11:40:00","2025-11-21 11:40:00","MU5505","MU5505","短过站","","T1",,"1",,"Y","Y","N",,,
"8a69d1d79a4879ac019aa3df4f077560","321db65919d042cca0a4365bd26e4f01","进港卸机","2025-11-21","2025-11-21 10:34:00",36,"进","8a69eb009a363b11019aa09d49af26c6","2025-11-21 10:34:00","2025-11-21 10:50:00","8a69eb009a363b11019aa09d49ae26a8","2025-11-21 11:40:00","2025-11-21 11:40:00","MU5505","MU5505","短过站","","T1",,"1",,"Y","Y","N",,,
"8a69d1d79a4879ac019aa3df4f077561","321db65919d042cca0a4365bd26e4f01","进港卸机","2025-11-21","2025-11-21 10:34:00",36,"进","8a69eb009a363b11019aa09d49af26c6","2025-11-21 10:34:00","2025-11-21 10:50:00","8a69eb009a363b11019aa09d49ae26a8","2025-11-21 11:40:00","2025-11-21 11:40:00","MU5505","MU5505","短过站","","T1",,"1",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa16925f2242f","ea06cd8b2378496791565af100607f07","进港卸机","2025-11-21","2025-11-21 10:34:00",36,"进","8a69eb009a363b11019aa09d49af26c6","2025-11-21 10:34:00","2025-11-21 10:50:00","8a69eb009a363b11019aa09d49ae26a8","2025-11-21 11:40:00","2025-11-21 11:40:00","MU5505","MU5505","短过站","","T1",,"1",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa16925f22430","ea06cd8b2378496791565af100607f07","进港卸机","2025-11-21","2025-11-21 10:34:00",36,"进","8a69eb009a363b11019aa09d49af26c6","2025-11-21 10:34:00","2025-11-21 10:50:00","8a69eb009a363b11019aa09d49ae26a8","2025-11-21 11:40:00","2025-11-21 11:40:00","MU5505","MU5505","短过站","","T1",,"1",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa16925f22431","ea06cd8b2378496791565af100607f07","进港卸机","2025-11-21","2025-11-21 10:34:00",36,"进","8a69eb009a363b11019aa09d49af26c6","2025-11-21 10:34:00","2025-11-21 10:50:00","8a69eb009a363b11019aa09d49ae26a8","2025-11-21 11:40:00","2025-11-21 11:40:00","MU5505","MU5505","短过站","","T1",,"1",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa16a4cd12f50","6d77d95110764d19a7e280ccca38ee86","出港押运","2025-11-21","2025-11-21 19:15:00",20,"出","8a69eb009a363b11019aa09d49ae26b5",,"2025-11-21 19:40:00","8a69eb009a363b11019aa09d49af26c7","2025-11-21 20:45:00","2025-11-21 20:45:00","G54285","G54286","短过站","押运","T1",,"17",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa169260324ae","ea06cd8b2378496791565af100607f07","进港卸机","2025-11-21","2025-11-21 15:55:00",36,"进","8a69eb009a363b11019aa09d49af26ca","2025-11-21 15:55:00","2025-11-21 16:10:00","8a69eb009a363b11019aa09d49ae266c","2025-11-21 17:00:00","2025-11-21 17:00:00","FU6512","FU6507","短过站","","T1",,"40",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa169260324af","ea06cd8b2378496791565af100607f07","进港卸机","2025-11-21","2025-11-21 15:55:00",36,"进","8a69eb009a363b11019aa09d49af26ca","2025-11-21 15:55:00","2025-11-21 16:10:00","8a69eb009a363b11019aa09d49ae266c","2025-11-21 17:00:00","2025-11-21 17:00:00","FU6512","FU6507","短过站","","T1",,"40",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa169260324b0","ea06cd8b2378496791565af100607f07","进港卸机","2025-11-21","2025-11-21 15:55:00",36,"进","8a69eb009a363b11019aa09d49af26ca","2025-11-21 15:55:00","2025-11-21 16:10:00","8a69eb009a363b11019aa09d49ae266c","2025-11-21 17:00:00","2025-11-21 17:00:00","FU6512","FU6507","短过站","","T1",,"40",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa1692618254d","ea06cd8b2378496791565af100607f07","进港卸机","2025-11-21","2025-11-21 21:05:00",36,"进","8a69eb009a363b11019aa09d49af26cb",,"2025-11-21 21:05:00","8a69eb009a363b11019aa09d49ae268f","2025-11-21 22:00:00","2025-11-21 22:00:00","CA4229","CA4230","短过站","","T1",,"17",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa1692619254e","ea06cd8b2378496791565af100607f07","进港卸机","2025-11-21","2025-11-21 21:05:00",36,"进","8a69eb009a363b11019aa09d49af26cb",,"2025-11-21 21:05:00","8a69eb009a363b11019aa09d49ae268f","2025-11-21 22:00:00","2025-11-21 22:00:00","CA4229","CA4230","短过站","","T1",,"17",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa1692619254f","ea06cd8b2378496791565af100607f07","进港卸机","2025-11-21","2025-11-21 21:05:00",36,"进","8a69eb009a363b11019aa09d49af26cb",,"2025-11-21 21:05:00","8a69eb009a363b11019aa09d49ae268f","2025-11-21 22:00:00","2025-11-21 22:00:00","CA4229","CA4230","短过站","","T1",,"17",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa3d8cdbc2978","822e7f3b408046b4a17632c30823c585","进港卸机","2025-11-21","2025-11-21 15:32:00",30,"进","8a69eb009a363b11019aa09d49af26cc","2025-11-21 15:32:00","2025-11-21 15:30:00","8a69eb009a363b11019aa09d49af2701","2025-11-21 17:05:00","2025-11-21 17:05:00","SC2201","SC2202","短过站","","T1",,"14",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa3d8cdbd2979","822e7f3b408046b4a17632c30823c585","进港卸机","2025-11-21","2025-11-21 15:32:00",30,"进","8a69eb009a363b11019aa09d49af26cc","2025-11-21 15:32:00","2025-11-21 15:30:00","8a69eb009a363b11019aa09d49af2701","2025-11-21 17:05:00","2025-11-21 17:05:00","SC2201","SC2202","短过站","","T1",,"14",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa3d8cdbd297a","822e7f3b408046b4a17632c30823c585","进港卸机","2025-11-21","2025-11-21 15:32:00",30,"进","8a69eb009a363b11019aa09d49af26cc","2025-11-21 15:32:00","2025-11-21 15:30:00","8a69eb009a363b11019aa09d49af2701","2025-11-21 17:05:00","2025-11-21 17:05:00","SC2201","SC2202","短过站","","T1",,"14",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa16a4cd12f53","6d77d95110764d19a7e280ccca38ee86","出港押运","2025-11-21","2025-11-21 10:05:00",20,"出","8a69eb009a363b11019aa09d49ae26b8","2025-11-21 10:55:00","2025-11-21 10:40:00","8a69eb009a363b11019aa09d49af26cd","2025-11-21 11:35:00","2025-11-21 11:35:00","8L9879","8L9880","短过站","押运","T1",,"12",,"Y","Y","N",,,
"8a69ef279a4879aa019aa58db6705537","321db65919d042cca0a4365bd26e4f01","进港卸机","2025-11-21","2025-11-21 18:40:00",36,"进","8a69eb009a363b11019aa09d49af26ce",,"2025-11-21 18:40:00","8a69eb009a363b11019aa09d49ae2688","2025-11-21 19:30:00","2025-11-21 19:30:00","NS3333","NS3334","短过站","","T1",,"14",,"Y","Y","N",,,
"8a69ef279a4879aa019aa58db6715538","321db65919d042cca0a4365bd26e4f01","进港卸机","2025-11-21","2025-11-21 18:40:00",36,"进","8a69eb009a363b11019aa09d49af26ce",,"2025-11-21 18:40:00","8a69eb009a363b11019aa09d49ae2688","2025-11-21 19:30:00","2025-11-21 19:30:00","NS3333","NS3334","短过站","","T1",,"14",,"Y","Y","N",,,
"8a69ef279a4879aa019aa58db6715539","321db65919d042cca0a4365bd26e4f01","进港卸机","2025-11-21","2025-11-21 18:40:00",36,"进","8a69eb009a363b11019aa09d49af26ce",,"2025-11-21 18:40:00","8a69eb009a363b11019aa09d49ae2688","2025-11-21 19:30:00","2025-11-21 19:30:00","NS3333","NS3334","短过站","","T1",,"14",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa16921600401","ea06cd8b2378496791565af100607f07","进港卸机","2025-11-21","2025-11-21 18:40:00",36,"进","8a69eb009a363b11019aa09d49af26ce",,"2025-11-21 18:40:00","8a69eb009a363b11019aa09d49ae2688","2025-11-21 19:30:00","2025-11-21 19:30:00","NS3333","NS3334","短过站","","T1",,"14",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa16921600402","ea06cd8b2378496791565af100607f07","进港卸机","2025-11-21","2025-11-21 18:40:00",36,"进","8a69eb009a363b11019aa09d49af26ce",,"2025-11-21 18:40:00","8a69eb009a363b11019aa09d49ae2688","2025-11-21 19:30:00","2025-11-21 19:30:00","NS3333","NS3334","短过站","","T1",,"14",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa16921600403","ea06cd8b2378496791565af100607f07","进港卸机","2025-11-21","2025-11-21 18:40:00",36,"进","8a69eb009a363b11019aa09d49af26ce",,"2025-11-21 18:40:00","8a69eb009a363b11019aa09d49ae2688","2025-11-21 19:30:00","2025-11-21 19:30:00","NS3333","NS3334","短过站","","T1",,"14",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa16a4cd22f56","6d77d95110764d19a7e280ccca38ee86","出港押运","2025-11-21","2025-11-21 21:00:00",20,"出","8a69eb009a363b11019aa09d49af2728",,"2025-11-21 21:40:00","8a69eb009a363b11019aa09d49af26d1","2025-11-21 22:30:00","2025-11-21 22:30:00","JD5618","JD5618","短过站","押运","T1",,"8",,"Y","Y","N",,,
